#,선수명,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,생년월일,나이,투수,타격,키,몸무게,포지션,등번호,is_pit
38.000,정보근,롯데 자이언츠,44.000,79.000,64.000,26.000,1.000,11.000,13.000,12.000,9.000,1.000,0.455,0.406,0.494,0.578,1.072,0.485,1.65,1999-08-31,25,우투,우타,175,88,포수,62,0
39.000,김상수,KT 위즈,100.000,401.000,346.000,94.000,1.000,43.000,42.000,43.000,53.000,5.000,0.315,0.272,0.354,0.327,0.681,0.327,1.64,1990-03-23,34,우투,우타,175,68,유격수,7,0
40.000,김휘집,키움 히어로즈,83.000,319.000,272.000,68.000,7.000,34.000,32.000,36.000,76.000,0.000,0.318,0.25,0.341,0.39,0.731,0.338,1.63,2002-01-01,22,우투,우타,0,0,내야수,44,0
41.000,로하스,두산 베어스,88.000,325.000,280.000,67.000,14.000,36.000,49.000,40.000,49.000,0.000,0.242,0.239,0.338,0.464,0.802,0.36,1.56,1993-02-24,31,우투,좌타,183,90,외야수,11,0
42.000,김주원,NC 다이노스,100.000,372.000,316.000,73.000,7.000,41.000,36.000,39.000,87.000,12.000,0.297,0.231,0.336,0.329,0.665,0.318,1.55,2002-07-30,22,우투,양타,185,83,내야수,7,0
43.000,전준우,롯데 자이언츠,99.000,391.000,340.000,94.000,13.000,54.000,54.000,39.000,45.000,7.000,0.281,0.276,0.355,0.438,0.793,0.357,1.47,1986-02-25,38,우투,우타,184,91,외야수,8,0
44.000,김현준,삼성 라이온즈,72.000,325.000,292.000,87.000,2.000,44.000,30.000,22.000,58.000,4.000,0.365,0.298,0.356,0.366,0.722,0.339,1.46,2002-10-11,22,좌투,좌타,0,0,외야수,69,0
45.000,최주환,SSG 랜더스,97.000,359.000,325.000,80.000,18.000,35.000,52.000,28.000,71.000,0.000,0.259,0.246,0.307,0.474,0.781,0.339,1.41,1988-02-28,36,우투,좌타,178,73,내야수,53,0
46.000,김민성,LG 트윈스,80.000,242.000,209.000,58.000,6.000,29.000,35.000,20.000,36.000,2.000,0.308,0.278,0.349,0.416,0.765,0.35,1.39,1988-12-17,36,우투,우타,181,80,내야수,25,0
47.000,허경민,두산 베어스,98.000,377.000,337.000,93.000,5.000,37.000,38.000,29.000,18.000,6.000,0.276,0.276,0.34,0.377,0.717,0.328,1.38,1990-08-26,34,우투,우타,176,69,내야수,13,0
48.000,김성윤,삼성 라이온즈,78.000,169.000,151.000,50.000,2.000,29.000,18.000,9.000,21.000,11.000,0.366,0.331,0.373,0.45,0.823,0.376,1.35,1999-02-02,25,좌투,좌타,163,62,외야수,49,0
49.000,이우성,KIA 타이거즈,87.000,278.000,242.000,71.000,6.000,30.000,35.000,25.000,60.000,6.000,0.365,0.293,0.366,0.409,0.775,0.354,1.35,1994-07-17,30,우투,우타,182,95,외야수,5,0
50.000,김도영,KIA 타이거즈,41.000,187.000,168.000,50.000,2.000,30.000,20.000,16.000,37.000,12.000,0.366,0.298,0.355,0.429,0.784,0.356,1.32,2003-10-02,21,우투,우타,183,85,내야수,5,0
51.000,이재현,삼성 라이온즈,107.000,397.000,351.000,88.000,10.000,44.000,43.000,29.000,70.000,5.000,0.286,0.251,0.31,0.382,0.692,0.316,1.29,2003-02-04,21,우투,우타,180,82,내야수,15,0
52.000,이도윤,한화 이글스,66.000,208.000,185.000,54.000,1.000,25.000,10.000,10.000,29.000,7.000,0.342,0.292,0.342,0.378,0.72,0.335,1.26,1996-10-07,28,우투,좌타,173,71,내야수,7,0
53.000,피렐라,삼성 라이온즈,102.000,453.000,423.000,120.000,11.000,49.000,63.000,25.000,53.000,5.000,0.303,0.284,0.329,0.423,0.752,0.337,1.25,1989-11-21,35,우투,우타,183,99,외야수,63,0
54.000,김현수,LG 트윈스,97.000,426.000,373.000,109.000,5.000,43.000,62.000,46.000,42.000,2.000,0.314,0.292,0.367,0.383,0.75,0.347,1.23,1988-01-12,36,우투,좌타,188,100,외야수,22,0
55.000,배정대,KT 위즈,61.000,221.000,189.000,55.000,1.000,35.000,27.000,23.000,49.000,8.000,0.378,0.291,0.364,0.354,0.718,0.338,1.22,1995-06-12,29,우투,우타,185,80,중견수,65,0
56.000,김동헌,키움 히어로즈,86.000,211.000,180.000,48.000,2.000,22.000,17.000,17.000,44.000,0.000,0.336,0.267,0.351,0.35,0.701,0.333,1.22,2004-07-15,20,우투,우타,182,91,포수,44,0
57.000,신민재,LG 트윈스,89.000,197.000,175.000,57.000,0.000,32.000,21.000,14.000,17.000,30.000,0.361,0.326,0.376,0.354,0.73,0.344,1.18,1996-01-21,28,우투,양타,171,64,내야수,5,0
58.000,김선빈,KIA 타이거즈,76.000,291.000,258.000,77.000,0.000,22.000,31.000,24.000,18.000,0.000,0.318,0.298,0.36,0.341,0.701,0.332,1.18,1989-12-18,35,우투,우타,165,70,내야수,3,0
59.000,러셀,키움 히어로즈,59.000,239.000,220.000,63.000,4.000,20.000,42.000,17.000,39.000,1.000,0.331,0.286,0.339,0.4,0.739,0.337,1.17,1994-01-23,30,우투,우타,183,88,내야수,27,0
60.000,서호철,NC 다이노스,80.000,308.000,285.000,83.000,2.000,36.000,30.000,15.000,39.000,4.000,0.328,0.291,0.33,0.386,0.716,0.329,1.12,1996-10-16,28,우투,우타,179,85,내야수,8,0
61.000,김민석,롯데 자이언츠,98.000,357.000,316.000,86.000,3.000,47.000,35.000,25.000,89.000,14.000,0.362,0.272,0.327,0.361,0.688,0.317,1.1,2004-05-09,20,우투,좌타,185,83,외야수,2,0
62.000,도슨,키움 히어로즈,29.000,130.000,110.000,35.000,3.000,19.000,17.000,13.000,22.000,5.000,0.364,0.318,0.4,0.436,0.836,0.384,1.09,1995-05-19,29,우투,좌타,188,98,외야수,27,0
63.000,박병호,KT 위즈,97.000,356.000,315.000,88.000,10.000,32.000,60.000,31.000,86.000,2.000,0.347,0.279,0.346,0.416,0.762,0.344,1.07,1986-07-10,38,우투,우타,185,107,1루수,52,0
64.000,도태훈,NC 다이노스,83.000,230.000,184.000,45.000,4.000,35.000,20.000,29.000,33.000,2.000,0.277,0.245,0.381,0.332,0.713,0.347,1.02,1993-03-18,31,우투,좌타,184,85,내야수,65,0
65.000,이정훈,롯데 자이언츠,26.000,78.000,70.000,29.000,1.000,9.000,9.000,6.000,11.000,0.000,0.483,0.414,0.474,0.5,0.974,0.448,0.97,1994-12-07,30,우투,좌타,185,90,포수,48,0
66.000,이창진,KIA 타이거즈,67.000,189.000,156.000,40.000,2.000,28.000,20.000,28.000,28.000,9.000,0.297,0.256,0.372,0.353,0.725,0.35,0.96,1991-03-04,33,우투,우타,175,80,외야수,13,0
67.000,박세혁,NC 다이노스,79.000,260.000,222.000,47.000,4.000,31.000,27.000,29.000,40.000,1.000,0.24,0.212,0.313,0.333,0.646,0.308,0.93,1990-01-09,34,우투,좌타,181,86,포수,10,0
68.000,이진영,한화 이글스,82.000,299.000,249.000,60.000,6.000,42.000,34.000,40.000,92.000,2.000,0.346,0.241,0.345,0.369,0.714,0.335,0.9,1997-07-21,27,우투,우타,183,82,외야수,45,0
69.000,이주형(38),키움 히어로즈,23.000,100.000,89.000,29.000,3.000,15.000,15.000,6.000,26.000,3.000,0.426,0.326,0.378,0.494,0.872,0.387,0.89,2001-04-02,23,우투,좌타,183,80,내야수,38,0
70.000,오윤석,KT 위즈,53.000,147.000,131.000,38.000,4.000,19.000,12.000,8.000,25.000,3.000,0.333,0.29,0.345,0.466,0.811,0.365,0.88,1992-02-24,32,우투,우타,180,79,내야수,4,0
71.000,노진혁,롯데 자이언츠,85.000,295.000,256.000,60.000,3.000,33.000,36.000,29.000,66.000,7.000,0.298,0.234,0.315,0.344,0.659,0.309,0.87,1989-07-15,35,우투,좌타,181,72,유격수,52,0
72.000,양석환,두산 베어스,101.000,422.000,378.000,101.000,17.000,52.000,59.000,30.000,100.000,2.000,0.311,0.267,0.322,0.442,0.764,0.337,0.85,1991-07-15,33,우투,우타,185,90,내야수,53,0
73.000,정훈,롯데 자이언츠,47.000,106.000,87.000,24.000,4.000,18.000,17.000,16.000,18.000,1.000,0.303,0.276,0.385,0.494,0.879,0.392,0.83,1987-07-18,37,우투,우타,181,84,내야수,9,0
74.000,김민식,SSG 랜더스,91.000,242.000,205.000,47.000,4.000,20.000,26.000,23.000,44.000,0.000,0.272,0.229,0.312,0.337,0.649,0.303,0.82,1989-06-28,35,우투,좌타,180,80,포수,24,0
75.000,유강남,롯데 자이언츠,85.000,290.000,253.000,58.000,6.000,32.000,31.000,29.000,47.000,0.000,0.256,0.229,0.313,0.336,0.649,0.304,0.82,1992-07-15,32,우투,우타,182,88,포수,27,0
76.000,최지훈,SSG 랜더스,92.000,405.000,370.000,95.000,2.000,50.000,28.000,25.000,45.000,14.000,0.287,0.257,0.307,0.346,0.653,0.304,0.75,1997-07-23,27,우투,좌타,178,82,외야수,00,0
77.000,고종욱,KIA 타이거즈,81.000,199.000,187.000,57.000,2.000,23.000,22.000,10.000,41.000,2.000,0.377,0.305,0.337,0.412,0.749,0.339,0.66,1989-01-11,35,우투,좌타,184,82,외야수,57,0
78.000,정은원,한화 이글스,95.000,390.000,325.000,74.000,2.000,46.000,23.000,56.000,59.000,6.000,0.272,0.228,0.345,0.274,0.619,0.309,0.64,2000-01-17,24,우투,좌타,177,78,내야수,43,0
79.000,김태연,한화 이글스,71.000,205.000,180.000,50.000,3.000,17.000,20.000,18.000,46.000,4.000,0.348,0.278,0.346,0.383,0.729,0.337,0.62,1997-06-10,27,우투,우타,178,99,내야수,18,0
80.000,이호연,KT 위즈,57.000,169.000,157.000,45.000,3.000,22.000,15.000,8.000,31.000,3.000,0.339,0.287,0.327,0.376,0.703,0.322,0.58,1995-06-03,29,우투,좌타,177,84,내야수,4,0
81.000,김성현,SSG 랜더스,72.000,209.000,186.000,53.000,0.000,21.000,16.000,14.000,23.000,1.000,0.325,0.285,0.335,0.344,0.679,0.318,0.58,1987-03-09,37,우투,우타,172,68,내야수,00,0
82.000,강백호,KT 위즈,57.000,232.000,203.000,53.000,6.000,29.000,32.000,27.000,48.000,3.000,0.311,0.261,0.345,0.399,0.744,0.337,0.57,1999-07-29,25,우투,좌타,184,98,외야수,50,0
83.000,강진성,SSG 랜더스,44.000,122.000,111.000,33.000,3.000,9.000,17.000,6.000,16.000,0.000,0.323,0.297,0.347,0.45,0.797,0.36,0.55,1993-10-19,31,우투,우타,180,81,외야수,49,0
84.000,류지혁,KIA 타이거즈,66.000,253.000,220.000,59.000,0.000,28.000,17.000,27.000,43.000,4.000,0.331,0.268,0.355,0.305,0.66,0.319,0.53,1994-01-13,30,우투,좌타,181,75,내야수,42,0
85.000,이유찬,두산 베어스,85.000,220.000,195.000,49.000,1.000,25.000,16.000,20.000,47.000,9.000,0.324,0.251,0.326,0.323,0.649,0.309,0.53,1998-08-05,26,우투,우타,175,68,내야수,7,0
86.000,류지혁,삼성 라이온즈,33.000,134.000,117.000,35.000,1.000,22.000,18.000,9.000,12.000,11.000,0.315,0.299,0.348,0.342,0.69,0.321,0.51,1994-01-13,30,우투,좌타,181,75,내야수,42,0
87.000,김강민,SSG 랜더스,43.000,106.000,88.000,24.000,2.000,17.000,4.000,15.000,27.000,0.000,0.367,0.273,0.381,0.364,0.745,0.35,0.5,1982-09-13,42,우투,우타,182,82,외야수,0,0
88.000,송성문,키움 히어로즈,77.000,314.000,277.000,71.000,4.000,27.000,45.000,29.000,29.000,1.000,0.27,0.256,0.323,0.354,0.677,0.312,0.5,1996-08-29,28,좌투,좌타,183,88,내야수,57,0
89.000,윤동희,롯데 자이언츠,81.000,315.000,287.000,85.000,2.000,33.000,32.000,22.000,54.000,1.000,0.352,0.296,0.341,0.362,0.703,0.325,0.46,2003-09-18,21,우투,우타,187,85,내야수,91,0
90.000,김태군,삼성 라이온즈,49.000,143.000,125.000,32.000,1.000,7.000,18.000,10.000,11.000,0.000,0.272,0.256,0.329,0.328,0.657,0.309,0.46,1989-12-30,35,우투,우타,182,82,포수,42,0
91.000,임지열,키움 히어로즈,56.000,176.000,149.000,37.000,4.000,14.000,25.000,21.000,45.000,0.000,0.327,0.248,0.351,0.369,0.72,0.339,0.46,1995-08-22,29,우투,양타,180,90,내야수,40,0
92.000,이원석,삼성 라이온즈,19.000,72.000,58.000,21.000,1.000,6.000,10.000,14.000,8.000,0.000,0.408,0.362,0.486,0.483,0.969,0.453,0.44,1986-10-21,38,우투,우타,182,82,3루수,16,0
93.000,강승호,두산 베어스,88.000,309.000,283.000,68.000,5.000,33.000,38.000,19.000,73.000,8.000,0.306,0.24,0.299,0.36,0.659,0.305,0.44,1994-02-09,30,우투,우타,179,77,내야수,25,0
94.000,박준영,두산 베어스,20.000,50.000,47.000,13.000,1.000,7.000,9.000,2.000,19.000,1.000,0.444,0.277,0.32,0.511,0.831,0.373,0.4,1997-08-05,27,우투,우타,181,75,내야수,9,0
95.000,김성욱,NC 다이노스,58.000,147.000,127.000,29.000,5.000,22.000,12.000,12.000,45.000,5.000,0.308,0.228,0.313,0.394,0.707,0.323,0.38,1993-05-01,31,우투,우타,181,75,외야수,38,0
96.000,하재훈,SSG 랜더스,39.000,110.000,100.000,25.000,3.000,16.000,10.000,8.000,30.000,4.000,0.328,0.25,0.318,0.41,0.728,0.333,0.36,1990-10-29,34,우투,우타,182,90,외야수,13,0
97.000,김동엽,삼성 라이온즈,54.000,153.000,136.000,37.000,5.000,18.000,18.000,13.000,22.000,1.000,0.288,0.272,0.34,0.419,0.759,0.344,0.35,1990-07-24,34,우투,우타,186,101,외야수,38,0
98.000,박경수,KT 위즈,82.000,174.000,143.000,30.000,0.000,9.000,7.000,26.000,34.000,0.000,0.275,0.21,0.335,0.294,0.629,0.309,0.34,1984-03-31,40,우투,우타,178,80,2루수,6,0
99.000,윤형준,NC 다이노스,68.000,211.000,194.000,53.000,5.000,17.000,26.000,10.000,51.000,1.000,0.343,0.273,0.316,0.423,0.739,0.332,0.32,1994-01-31,30,우투,우타,186,97,내야수,28,0
100.000,김형준,NC 다이노스,1.000,3.000,3.000,2.000,2.000,2.000,2.000,0.000,0.000,0.000,0.0,0.667,0.667,2.667,3.334,1.297,0.3,1999-11-02,25,우투,우타,187,98,포수,12,0
101.000,김준태,KT 위즈,49.000,109.000,96.000,23.000,2.000,8.000,19.000,11.000,27.000,1.000,0.313,0.24,0.324,0.344,0.668,0.314,0.3,1994-07-31,30,우투,좌타,175,91,포수,43,0
102.000,이형종,키움 히어로즈,87.000,338.000,287.000,64.000,3.000,32.000,32.000,33.000,71.000,0.000,0.284,0.223,0.33,0.334,0.664,0.318,0.3,1989-06-07,35,우투,우타,183,80,외야수,36,0
103.000,문현빈,한화 이글스,98.000,346.000,312.000,80.000,3.000,32.000,29.000,20.000,64.000,4.000,0.309,0.256,0.304,0.34,0.644,0.296,0.27,2004-04-20,20,우투,좌타,174,82,내야수,64,0
104.000,최원준,KIA 타이거즈,47.000,212.000,184.000,46.000,1.000,28.000,18.000,24.000,32.000,8.000,0.298,0.25,0.337,0.337,0.674,0.322,0.27,1997-03-23,27,우투,좌타,178,81,내야수,6,0
105.000,김재성,삼성 라이온즈,40.000,93.000,76.000,16.000,1.000,5.000,6.000,14.000,22.000,0.000,0.283,0.211,0.355,0.289,0.644,0.318,0.27,1996-10-30,28,우투,좌타,185,85,포수,48,0
106.000,구드럼,롯데 자이언츠,26.000,113.000,100.000,26.000,0.000,9.000,15.000,12.000,26.000,0.000,0.347,0.26,0.336,0.32,0.656,0.313,0.26,1992-02-28,32,우투,양타,190,99,내야수,4,0
107.000,김동진,삼성 라이온즈,40.000,130.000,116.000,31.000,0.000,13.000,8.000,8.000,25.000,3.000,0.333,0.267,0.315,0.328,0.643,0.3,0.21,1996-12-18,28,우투,좌타,184,84,내야수,24,0
108.000,오선진,한화 이글스,52.000,138.000,114.000,26.000,0.000,11.000,9.000,16.000,24.000,1.000,0.283,0.228,0.333,0.281,0.614,0.303,0.21,1989-07-07,35,우투,우타,178,80,내야수,6,0
109.000,김태군,KIA 타이거즈,28.000,91.000,84.000,24.000,0.000,7.000,12.000,2.000,4.000,1.000,0.296,0.286,0.307,0.321,0.628,0.29,0.2,1989-12-30,35,우투,우타,182,82,포수,42,0
110.000,안중열,NC 다이노스,63.000,138.000,117.000,23.000,3.000,11.000,13.000,14.000,36.000,0.000,0.25,0.197,0.289,0.316,0.605,0.285,0.2,1995-09-01,29,우투,우타,177,78,포수,32,0
111.000,배영빈,롯데 자이언츠,1.000,4.000,4.000,3.000,0.000,1.000,0.000,0.000,0.000,0.000,0.75,0.75,0.75,1.0,1.75,0.785,0.19,2000-06-26,24,우투,우타,178,70,내야수,87,0
112.000,이천웅,LG 트윈스,4.000,3.000,3.000,3.000,0.000,0.000,1.000,0.000,0.000,0.000,1.0,1.0,1.0,1.0,2.0,0.915,0.18,1988-10-20,36,좌투,좌타,182,83,외야수,32,0
113.000,안치영,KT 위즈,49.000,106.000,95.000,27.000,0.000,17.000,8.000,6.000,27.000,6.000,0.391,0.284,0.337,0.326,0.663,0.314,0.18,1998-05-29,26,우투,좌타,176,72,내야수,4,0
114.000,안상현,SSG 랜더스,38.000,49.000,41.000,11.000,0.000,6.000,2.000,5.000,10.000,2.000,0.355,0.268,0.348,0.341,0.689,0.328,0.18,1997-01-27,27,우투,우타,178,74,내야수,00,0
115.000,김재환*,두산 베어스,100.000,384.000,327.000,72.000,9.000,35.000,40.000,51.000,83.000,3.000,0.267,0.22,0.333,0.346,0.679,0.319,0.18,1988-09-22,36,우투,좌타,183,90,외야수,32,0
116.000,신본기,KT 위즈,14.000,34.000,28.000,6.000,1.000,3.000,3.000,4.000,4.000,0.000,0.217,0.214,0.353,0.357,0.71,0.341,0.18,1989-03-21,35,우투,우타,178,82,내야수,5,0
117.000,렉스,롯데 자이언츠,55.000,234.000,203.000,50.000,4.000,20.000,30.000,28.000,54.000,0.000,0.313,0.246,0.338,0.345,0.683,0.319,0.16,1993-11-12,31,우투,우타,188,86,외야수,17,0
118.000,홍현빈,KT 위즈,44.000,86.000,73.000,17.000,0.000,15.000,1.000,13.000,21.000,2.000,0.327,0.233,0.349,0.26,0.609,0.307,0.15,1997-08-29,27,우투,좌타,174,70,외야수,5,0
119.000,이지영,키움 히어로즈,81.000,237.000,217.000,54.000,0.000,23.000,8.000,12.000,39.000,1.000,0.303,0.249,0.291,0.295,0.586,0.276,0.14,1986-02-27,38,우투,우타,178,83,포수,56,0
120.000,박대온,NC 다이노스,9.000,13.000,11.000,4.000,0.000,2.000,2.000,0.000,3.000,0.000,0.444,0.364,0.385,0.455,0.84,0.373,0.12,1995-08-28,29,우투,우타,182,74,포수,44,0
121.000,김민수(타),롯데 자이언츠,21.000,47.000,39.000,9.000,0.000,4.000,2.000,7.000,15.000,0.000,0.375,0.231,0.348,0.308,0.656,0.325,0.1,1998-03-18,26,우투,우타,182,96,내야수,5,0
122.000,윤정빈,삼성 라이온즈,17.000,26.000,22.000,5.000,1.000,3.000,2.000,3.000,8.000,1.000,0.308,0.227,0.346,0.364,0.71,0.335,0.09,1999-06-24,25,우투,좌타,182,93,외야수,31,0
